Geography,Gender,Age,Balance,IsActiveMember,Exited
France,Female,42.0,0.0,1,1
Spain,Female,41.0,83807.86,1,0
France,Female,42.0,159660.8,0,1
France,Female,39.0,0.0,0,0
Spain,Female,43.0,125510.82,1,0
Spain,Male,44.0,113755.78,0,1
France,Male,50.0,0.0,1,0
Germany,Female,29.0,115046.74,0,1
France,Male,44.0,142051.07,1,0
France,Male,27.0,134603.88,1,0
France,Male,31.0,102016.72,0,0
Spain,Male,24.0,0.0,0,0
France,Female,34.0,0.0,0,0
France,Female,25.0,0.0,0,0
Spain,Female,35.0,0.0,1,0
Germany,Male,45.0,143129.41,1,0
Germany,Male,58.0,132602.88,0,1
Spain,Female,24.0,0.0,1,0
Spain,Male,45.0,0.0,0,0
France,Female,24.0,0.0,1,0
France,Male,41.0,0.0,1,0
Spain,Female,32.0,0.0,0,0
Spain,Female,38.0,0.0,0,1
France,Male,46.0,0.0,1,0
France,Female,38.0,0.0,1,0
France,Male,25.0,0.0,1,0
Germany,Male,36.0,136815.64,1,0
France,Male,44.0,0.0,0,0
Germany,Female,43.0,141349.43,1,0
France,Male,29.0,59697.17,1,0
Spain,Female,39.0,0.0,0,1
France,Male,36.0,85311.7,1,0
Germany,Male,41.0,110112.54,0,0
Spain,Female,42.0,0.0,1,0
Spain,Female,29.0,0.0,1,0
France,Female,45.0,134264.04,0,1
Spain,Male,31.0,145260.23,1,0
Spain,Male,33.0,76548.6,1,0
France,Male,36.0,0.0,1,0
Germany,Male,41.0,70349.48,1,0
Spain,Male,40.0,0.0,0,0
France,Female,51.0,122522.32,0,1
France,Female,61.0,117419.35,1,0
France,Female,49.0,131394.56,0,1
Spain,Female,61.0,155931.11,1,0
Germany,Female,32.0,109421.13,1,0
Germany,Female,27.0,112045.67,1,1
Germany,Female,39.0,137843.8,1,1
Germany,Male,38.0,103391.38,1,0
Germany,Female,37.0,103769.22,0,0
Germany,Male,44.0,116363.37,0,0
Germany,Male,36.0,146050.97,0,0
France,Female,33.0,0.0,0,0
Germany,Male,41.0,125561.97,0,1
Germany,Male,42.0,98495.72,0,1
France,Male,43.0,125211.92,1,0
France,Male,45.0,127864.4,0,0
Germany,Male,19.0,75888.2,0,0
Spain,Female,38.9218,0.0,0,1
France,Male,51.0,40685.92,1,0
Germany,Male,35.0,136857.0,0,0
Germany,Female,27.0,152328.88,0,0
Spain,Male,33.0,56084.69,0,0
Spain,Male,56.0,78707.16,1,0
Germany,Male,26.0,109166.37,1,0
Germany,Female,36.0,169831.46,1,0
Germany,Female,34.0,101633.04,0,0
Germany,Male,43.0,123180.01,1,0
Germany,Female,35.0,150725.53,1,0
France,Female,21.0,98373.26,0,0
Germany,Male,58.0,133745.44,0,1
France,Male,29.0,0.0,0,0
Spain,Female,37.0,163607.18,1,0
Germany,Female,25.0,157780.84,1,0
France,Male,36.0,0.0,1,0
France,Female,21.0,178718.19,0,0
France,Male,55.0,0.0,1,0
France,Female,32.0,0.0,1,0
Spain,Male,33.0,77253.22,1,0
Germany,Female,41.0,122189.66,0,0
France,Female,34.0,96645.54,0,0
France,Female,32.0,0.0,0,1
France,Female,36.0,0.0,0,0
France,Female,34.0,90307.62,1,0
France,Female,46.0,0.0,0,0
Spain,Female,38.9218,0.0,1,0
Spain,Male,22.0,121681.82,0,1
France,Male,30.0,0.0,0,0
France,Female,46.0,0.0,0,1
Germany,Female,28.0,81623.67,1,0
Spain,Female,44.0,0.0,1,1
France,Male,45.0,118626.55,0,0
France,Female,36.0,0.0,0,0
France,Male,29.0,0.0,1,0
Spain,Male,42.0,0.0,1,0
Spain,Male,35.0,176273.95,1,0
Spain,Male,41.0,102827.44,1,0
Germany,Male,29.0,97086.4,1,0
Spain,Male,22.0,0.0,0,0
France,Male,34.0,0.0,0,0
France,Female,40.0,0.0,1,0
France,Female,44.0,0.0,0,0
France,Male,31.0,82674.15,0,0
Spain,Male,36.0,0.0,0,0
Spain,Female,38.9218,0.0,1,1
Spain,Female,46.0,107073.27,1,1
Germany,Male,32.0,88938.62,1,0
Germany,Female,36.0,99806.85,1,0
Spain,Male,33.0,150092.8,0,0
Germany,Male,35.0,92833.89,0,1
Germany,Male,30.0,90536.81,1,0
Germany,Male,39.0,108055.1,0,0
France,Male,42.0,100238.35,0,0
Spain,Male,36.0,106190.55,1,0
Germany,Male,28.0,154475.54,1,1
Germany,Female,30.0,132351.29,1,0
Germany,Female,37.0,167864.4,0,0
France,Female,41.0,0.0,0,0
Germany,Female,31.0,107818.63,0,1
Germany,Male,34.0,185173.81,0,0
France,Male,34.0,129433.34,0,0
Spain,Male,39.0,120193.42,0,0
France,Female,39.0,0.0,0,0
Germany,Female,48.0,126384.42,1,0
France,Female,28.0,0.0,0,0
France,Male,42.0,152603.45,0,1
France,Female,52.0,0.0,1,1
Germany,Male,56.0,148507.24,0,1
France,Female,41.0,0.0,0,0
France,Male,24.0,101827.07,0,0
France,Female,34.0,0.0,1,0
Germany,Female,33.0,130862.43,1,0
France,Male,38.0,122570.87,1,0
France,Male,25.0,0.0,1,0
Germany,Male,39.0,124828.46,1,0
Germany,Female,50.0,144895.05,1,0
Germany,Female,34.0,63663.93,1,0
France,Male,40.0,133463.1,1,0
Spain,Female,48.0,213146.2,0,1
Spain,Female,35.0,129490.36,1,1
Germany,Male,44.0,137452.09,0,0
France,Male,34.0,0.0,1,0
France,Female,43.0,125851.93,1,0
Spain,Male,52.0,0.0,0,1
France,Female,31.0,40915.55,0,1
Spain,Female,21.0,113157.22,1,0
Spain,Female,29.0,138296.94,0,0
France,Male,37.0,106967.18,0,0
France,Male,44.0,120681.63,0,0
France,Male,32.0,0.0,1,0
Spain,Female,32.0,0.0,0,0
France,Female,48.0,0.0,0,1
Spain,Male,42.0,0.0,0,0
France,Male,37.0,127609.59,0,0
France,Female,43.0,0.0,1,0
Spain,Male,57.0,0.0,0,1
France,Female,33.0,0.0,0,0
Spain,Female,28.0,0.0,1,0
France,Female,38.9218,97259.25,1,0
Germany,Female,33.0,123246.7,0,0
Spain,Female,22.0,101060.25,1,0
France,Male,30.0,0.0,0,0
France,Female,49.0,108007.36,0,0
Spain,Female,36.0,0.0,1,0
Spain,Male,29.0,133702.89,0,1
Germany,Male,31.0,125189.75,1,0
Germany,Female,24.0,113034.22,0,1
Spain,Female,41.0,109013.23,0,0
Spain,Female,39.0,0.0,0,1
Germany,Male,24.0,57929.81,0,0
France,Female,29.0,130114.39,0,0
